sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Leotiomycetes;Helotiales;Chaetomellaceae;Synchaetomella						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Zoopagomycota;NA;Zoopagales;Piptocephalidaceae;Piptocephalis						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Colpodellidae;Colpodella						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Xylodon						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Scleropodium						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Animalia;Arthropoda;Insecta;Mantodea;Mantidae;Mantis						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Plantae;Streptophyta;NA;Dipsacales;Adoxaceae;Sambucus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Allocatelliglobosispora						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Brachyphoris						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Neocystis						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Protozoa;Choanozoa;NA;Choanoflagellida;Salpingoecidae;Hartaetosiga						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Scleroconidioma						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Sydowia						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Cercozoa;NA;Thaumatomonadida;Thaumatomastigidae;Protaspis						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Plantae;Streptophyta;NA;Dipsacales;Adoxaceae;Sambucus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Sarcinomyces					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Krasilnikovozyma						Klamath Mountains					https://www.ucedna.com	
